Name,ApiName,IsCustom,Description,IngestedBy,PopulatedBy,CreatedBy,CreatedDate,LastModifiedBy,LastModifiedDate,Owners,Stakeholders,IsFollowing,Definition,Notes,ManagedPackage,RawSalesforceId,SourceUrl
Field Security Classification,FieldSecurityClassification,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/FieldSecurityClassification/Details/view
History: Field Analysis,Field_Trip__Field_Analysis__History,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/Field_Trip__Field_Analysis__History/Details/view
Field Analysis,Field_Trip__Field_Analysis__c,True,,,,Erickson Tweedy,2021-09-28T17:59,Erickson Tweedy,2021-09-28T17:59,,,False,,,RingLead (Field_Trip),01I6g000003KYiY,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/01I6g000003KYiY/Details/view
Field Analytic Config,Field_Trip__Field_Analytic_Config__c,True,,,,Erickson Tweedy,2021-09-28T17:59,Erickson Tweedy,2021-09-28T17:59,,,False,,,RingLead (Field_Trip),01I6g000003KYiZ,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/01I6g000003KYiZ/Details/view
Field Trip Logistics,Field_Trip__Logistics__c,True,These settings control how the Field Trip application processes your fields and data.  It is not recommended you make changes without consulting a Qandor representative.,,,Erickson Tweedy,2021-09-28T17:59,Erickson Tweedy,2021-09-28T17:59,,,False,,,RingLead (Field_Trip),01I6g000003KYia,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/01I6g000003KYia/Details/view
History: Field Trip,Field_Trip__Object_Analysis__History,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/Field_Trip__Object_Analysis__History/Details/view
Share: Field Trip,Field_Trip__Object_Analysis__Share,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/Field_Trip__Object_Analysis__Share/Details/view
Field Trip,Field_Trip__Object_Analysis__c,True,,,,Erickson Tweedy,2021-09-28T17:59,Jake Winkler(T),2022-03-22T21:06,,,False,,,RingLead (Field_Trip),01I6g000003KYib,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/01I6g000003KYib/Details/view
File Event,FileEvent,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/FileEvent/Details/view
File Event Store,FileEventStore,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/FileEventStore/Details/view
FileSearchActivity,FileSearchActivity,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/FileSearchActivity/Details/view
Fiscal Year Settings,FiscalYearSettings,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/FiscalYearSettings/Details/view
Flex Queue Item,FlexQueueItem,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/FlexQueueItem/Details/view
Flow Definition,FlowDefinitionView,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/FlowDefinitionView/Details/view
Flow Execution Error Event,FlowExecutionErrorEvent,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/FlowExecutionErrorEvent/Details/view
Flow Interview,FlowInterview,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/FlowInterview/Details/view
Flow Interview Log,FlowInterviewLog,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/FlowInterviewLog/Details/view
Flow Interview Log Entry,FlowInterviewLogEntry,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/FlowInterviewLogEntry/Details/view
Flow Interview Log Share,FlowInterviewLogShare,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/FlowInterviewLogShare/Details/view
Flow Interview Share,FlowInterviewShare,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/FlowInterviewShare/Details/view
Flow Navigation Metric Event Log,FlowNavMetricEventLog,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/FlowNavMetricEventLog/Details/view
Orchestration Event,FlowOrchestrationEvent,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/FlowOrchestrationEvent/Details/view
Orchestration Run,FlowOrchestrationInstance,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/FlowOrchestrationInstance/Details/view
Orchestration Run Share,FlowOrchestrationInstanceShare,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/FlowOrchestrationInstanceShare/Details/view
Orchestration Run Log,FlowOrchestrationLog,False,,Fivetran Data Loader,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/FlowOrchestrationLog/Details/view
Orchestration Stage Run,FlowOrchestrationStageInstance,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/FlowOrchestrationStageInstance/Details/view
Orchestration Stage Run Share,FlowOrchestrationStageInstanceShare,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/FlowOrchestrationStageInstanceShare/Details/view
Orchestration Step Run,FlowOrchestrationStepInstance,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/FlowOrchestrationStepInstance/Details/view
Orchestration Step Run Share,FlowOrchestrationStepInstanceShare,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/FlowOrchestrationStepInstanceShare/Details/view
Orchestration Work Item,FlowOrchestrationWorkItem,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/FlowOrchestrationWorkItem/Details/view
Orchestration Work Item Share,FlowOrchestrationWorkItemShare,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/FlowOrchestrationWorkItemShare/Details/view
Flow,FlowRecord,False,,Fivetran Data Loader,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/FlowRecord/Details/view
Flow Element,FlowRecordElement,False,,Fivetran Data Loader,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/FlowRecordElement/Details/view
